           Time[sec]              Command             PortNo.0             PortNo.1             PortNo.2             PortNo.3 
        0.5100000000         2.3430237012         1.3966839240         1.3918728378         1.3914898717         3.7148160824 
        0.5150000000         2.2647292167         1.3941368236         1.3867802168         1.3965824825         3.7581460489 
        0.5200000000         2.1866669161         1.4043252250         1.4071507010         1.3991287878         3.8040248369 
        0.5250000000         2.1089138374         1.4068723253         1.4020580799         1.4067677040         3.8320618740 
        0.5300000000         2.0315467135         1.4068723253         1.3969654589         1.3991287878         3.8600989112 
        0.5350000000         1.9546418965         1.3890426230         1.3969654589         1.3991287878         3.8804894836 
        0.5400000000         1.8782752821         1.3788542216         1.3918728378         1.4016750932         3.8855871267 
        0.5450000000         1.8025222349         1.4017781247         1.3842339063         1.4016750932         3.8983312345 
        0.5500000000         1.7274575141         1.3763071212         1.3995117694         1.4093140094         3.9008800561 
        0.5550000000         1.6531551994         1.3839484223         1.3995117694         1.4093140094         3.8957824130 
        0.5600000000         1.5796886183         1.3788542216         1.3944191484         1.4016750932         3.8830383052 
        0.5650000000         1.5071302734         1.4043252250         1.3969654589         1.3991287878         3.8728430189 
        0.5700001000         1.4355503498         1.3941368236         1.4046043904         1.3991287878         3.8626477327 
        0.5750001000         1.3650223511         1.4068723253         1.3969654589         1.4016750932         3.8473548034 
        0.5800001000         1.2956144382         1.3839484223         1.3918728378         1.3914898717         3.8295130525 
        0.5850000000         1.2273964606         1.3992310243         1.3893265273         1.3914898717         3.8091224800 
        0.5900000000         1.1604330126         1.3864955226         1.3893265273         1.4093140094         3.7861830860 
        0.5950000000         1.0947915554         1.3915897233         1.3995117694         1.3889435663         3.7632436920 
        0.6000000000         1.0305368693         1.4170607267         1.4046043904         1.3940361771         3.7352066549 
        0.6050000000         0.9677323659         1.3941368236         1.3995117694         1.4016750932         3.7097184393 
        0.6100000000         0.9064400256         1.4043252250         1.3867802168         1.4042213986         3.6791325807 
        0.6150000000         0.8467203367         1.4119665260         1.3893265273         1.3914898717         3.6332537926 
        0.6200000000         0.7886322352         1.4119665260         1.3969654589         1.3965824825         3.5975702908 
        0.6250000000         0.7322330470         1.4017781247         1.3816875958         1.3965824825         3.5542403244 
        0.6300000000         0.6775784314         1.3890426230         1.3944191484         1.3914898717         3.5007150717 
        0.6350000000         0.6247223259         1.4068723253         1.3893265273         1.4042213986         3.4650315699 
        0.6400000000         0.5737168931         1.3864955226         1.3867802168         1.4042213986         3.4166039603 
        0.6450000000         0.5246124691         1.3890426230         1.3918728378         1.3914898717         3.3528834214 
        0.6500000000         0.4774575141         1.4119665260         1.3995117694         1.3965824825         3.3019069903 
        0.6550000000         0.4322985643         1.3992310243         1.3995117694         1.3965824825         3.2458329160 
        0.6600000000         0.3891801862         1.3941368236         1.3918728378         1.4042213986         3.1923076634 
        0.6650000000         0.3481449325         1.3941368236         1.3918728378         1.4169529256         3.1311359460 
        0.6700000000         0.3092332999         1.3864955226         1.3867802168         1.3991287878         3.0546712993 
        0.6750000000         0.2724836895         1.3941368236         1.3842339063         1.4042213986         3.0011460466 
        0.6800000000         0.2379323688         1.3941368236         1.3918728378         1.4042213986         2.9170349353 
        0.6850000000         0.2056134358         1.3941368236         1.3918728378         1.3914898717         2.8482167532 
        0.6900000000         0.1755587853         1.3992310243         1.3995117694         1.3965824825         2.7793985712 
        0.6950001000         0.1477975455         1.3966839240         1.3944191484         1.4042213986         2.7156780323 
        0.7000001000         0.1223582239         1.3941368236         1.3918728378         1.4067677040         2.6417622072 
        0.7050001000         0.0992653476         1.3890426230         1.3867802168         1.3991287878         2.5576510958 
        0.7100000000         0.0785420972         1.3864955226         1.3867802168         1.4067677040         2.4862840922 
        0.7150000000         0.0602080952         1.3966839240         1.3944191484         1.3914898717         2.3996241593 
        0.7200000000         0.0442818732         1.3915897233         1.3893265273         1.3991287878         2.3231595126 
        0.7250000000         0.0307791485         1.3966839240         1.3944191484         1.4042213986         2.2466948659 
        0.7300000000         0.0197132467         1.3941368236         1.3944191484         1.4067677040         2.1651325761 
        0.7350000000         0.0110950885         1.3890426230         1.3867802168         1.3991287878         2.0733750001 
        0.7400000000         0.0049331789         1.4017781247         1.3995117694         1.3965824825         1.9892638887 
        0.7450000000         0.0012335991         1.4017781247         1.3995117694         1.3991287878         1.9051527773 
        0.7500000000         0.0000000000         1.3966839240         1.3893265273         1.4042213986         1.8261393091 
        0.7550000000         0.0012335991         1.3890426230         1.3893265273         1.4067677040         1.7420281977 
        0.7600000000         0.0049331789         1.3890426230         1.3867802168         1.3991287878         1.6528194432 
        0.7650000000         0.0110950885         1.3890426230         1.3893265273         1.3965824825         1.5610618672 
