           Time[sec]             ao1_Vcmd            ai2_Vgyro           ai3_Vpoten                Wgyro 
        2.6800001000         1.5000000000         0.7007594367         3.2662651501       -13.3722264308 
        2.6850000000         1.5000000000         0.6931125823         3.2127443765       -13.5714246215 
        2.6900001000         1.5000000000         0.6905636308         3.1566749946       -13.6378240183 
        2.6950000000         1.5000000000         0.6854657278         3.0980570045       -13.7706228121 
        2.7000000000         1.5000000000         0.7007594367         3.0674737053       -13.3722264308 
        2.7050000000         1.5000000000         0.7007594367         3.0114043234       -13.3722264308 
        2.7100000000         1.5000000000         0.6982104853         2.9527863332       -13.4386258277 
        2.7150000000         1.5000000000         0.7007594367         2.9043627762       -13.3722264308 
        2.7200000000         1.5000000000         0.6982104853         2.8508420026       -13.4386258277 
        2.7250000000         1.5000000000         0.7058573397         2.8100642703       -13.2394276371 
        2.7300000000         1.5000000000         0.6931125823         2.7438004553       -13.5714246215 
        2.7350000000         1.5000000000         0.6956615338         2.6979255065       -13.5050252246 
        2.7400000000         1.5000000000         0.6905636308         2.6469533412       -13.6378240183 
        2.7450000000         1.5000000000         0.6905636308         2.5857867427       -13.6378240183 
        2.7500000000         1.5000000000         0.7058573397         2.5450090105       -13.2394276371 
        2.7550000000         1.5000000000         0.7033083882         2.4787451955       -13.3058270340 
        2.7600000000         1.5000000000         0.7007594367         2.4379674632       -13.3722264308 
        2.7650001000         1.5000000000         0.7058573397         2.3946411227       -13.2394276371 
        2.7700000000         1.5000000000         0.7007594367         2.3411203491       -13.3722264308 
        2.7750000000         1.5000000000         0.6982104853         2.2850509672       -13.4386258277 
        2.7800000000         1.5000000000         0.6854657278         2.2187871522       -13.7706228121 
        2.7850001000         1.5000000000         0.6931125823         2.1729122034       -13.5714246215 
        2.7900000000         1.5000000000         0.6956615338         2.1219400381       -13.5050252246 
        2.7950000000         1.5000000000         0.6956615338         2.0684192645       -13.5050252246 
        2.8000001000         1.5000000000         0.6931125823         2.0199957074       -13.5714246215 
        2.8050001000         1.5000000000         0.6931125823         1.9664749338       -13.5714246215 
        2.8100000000         1.5000000000         0.6829167763         1.9155027684       -13.8370222089 
        2.8150001000         1.5000000000         0.6905636308         1.8543361700       -13.6378240183 
        2.8200000000         1.5000000000         0.6880146793         1.8033640047       -13.7042234152 
        2.8250000000         1.5000000000         0.6982104853         1.7574890559       -13.4386258277 
        2.8300000000         1.5000000000         0.6803678249         1.6886766326       -13.9034216058 
        2.8350000000         1.5000000000         0.6931125823         1.6453502921       -13.5714246215 
        2.8400000000         1.5000000000         0.6905636308         1.5969267350       -13.6378240183 
        2.8450000000         1.5000000000         0.6905636308         1.5434059614       -13.6378240183 
        2.8500000000         1.5000000000         0.6931125823         1.4873365795       -13.5714246215 
        2.8550000000         1.5000000000         0.6982104853         1.4440102390       -13.4386258277 
        2.8600000000         1.5000000000         0.6982104853         1.3853922488       -13.4386258277 
        2.8650000000         1.5000000000         0.7033083882         1.3420659083       -13.3058270340 
        2.8700000000         1.5000000000         0.7007594367         1.2910937429       -13.3722264308 
        2.8750000000         1.5000000000         0.7007594367         1.2324757528       -13.3722264308 
        2.8800000000         1.5000000000         0.7058573397         1.1815035874       -13.2394276371 
        2.8850000000         1.5000000000         0.7109552427         1.1407258552       -13.1066288434 
        2.8900001000         1.5000000000         0.6931125823         1.0795592567       -13.5714246215 
        2.8950000000         1.5000000000         0.6880146793         1.0234898749       -13.7042234152 
        2.9000000000         1.5000000000         0.6854657278         0.9725177095       -13.7706228121 
        2.9050000000         1.5000000000         0.6982104853         0.9240941524       -13.4386258277 
        2.9100001000         1.5000000000         0.6931125823         0.8654761623       -13.5714246215 
        2.9150000000         1.5000000000         0.7007594367         0.8221498217       -13.3722264308 
        2.9200000000         1.5000000000         0.7007594367         0.7737262647       -13.3722264308 
        2.9250001000         1.5000000000         0.6854657278         0.7125596663       -13.7706228121 
        2.9300001000         1.5000000000         0.6880146793         0.6564902844       -13.7042234152 
        2.9350000000         1.5000000000         0.6931125823         0.6106153356       -13.5714246215 
        2.9400001000         1.5000000000         0.6982104853         0.5621917785       -13.4386258277 
        2.9450000000         1.5000000000         0.6982104853         0.5061223966       -13.4386258277 
        2.9500000000         1.5000000000         0.7007594367         0.4576988395       -13.3722264308 
        2.9550000000         1.5000000000         0.6905636308         0.3965322411       -13.6378240183 
        2.9600000000         1.5000000000         0.6880146793         0.3353656427       -13.7042234152 
        2.9650000000         1.5000000000         0.6982104853         0.2869420856       -13.4386258277 
        2.9700000000         1.5000000000         0.7007594367         0.2334213120       -13.3722264308 
        2.9750000000         1.5000000000         0.6956615338         0.1697061053       -13.5050252246 
        2.9800000000         1.5000000000         0.7058573397         0.1238311565       -13.2394276371 
        2.9850000000         1.5000000000         0.7109552427         0.0805048160       -13.1066288434 
        2.9900000000         1.5000000000         0.7109552427         0.0269840423       -13.1066288434 
        2.9950000000         1.5000000000         0.7109552427         0.0014979597       -13.1066288434 
        3.0000000000         1.5000000000         0.7033083882        -0.0035992569       -13.3058270340 
        3.0050000000         1.5000000000         0.7058573397         1.0999481229       -13.2394276371 
        3.0100000000         1.5000000000         0.7109552427         4.9814785140       -13.1066288434 
        3.0150001000         1.5000000000         0.7160531457         5.0095132050       -12.9738300496 
        3.0200000000         1.5000000000         0.7084062912         5.0069645967       -13.1730282402 
        3.0250000000         1.5000000000         0.7058573397         4.9610896479       -13.2394276371 
        3.0300000000         1.5000000000         0.7109552427         4.9177633074       -13.1066288434 
        3.0350001000         1.5000000000         0.6931125823         4.8489508841       -13.5714246215 
        3.0400000000         1.5000000000         0.6931125823         4.7928815023       -13.5714246215 
        3.0450000000         1.5000000000         0.7007594367         4.7393607286       -13.3722264308 
        3.0500001000         1.5000000000         0.7058573397         4.6960343881       -13.2394276371 
        3.0550001000         1.5000000000         0.7058573397         4.6374163980       -13.2394276371 
        3.0600000000         1.5000000000         0.6982104853         4.5813470161       -13.4386258277 
        3.0650001000         1.5000000000         0.7058573397         4.5329234590       -13.2394276371 
        3.0700000000         1.5000000000         0.7033083882         4.4743054688       -13.3058270340 
        3.0750001000         1.5000000000         0.6982104853         4.4207846952       -13.4386258277 
        3.0800000000         1.5000000000         0.7007594367         4.3672639216       -13.3722264308 
        3.0850000000         1.5000000000         0.6956615338         4.3086459315       -13.5050252246 
        3.0900000000         1.5000000000         0.7084062912         4.2678681992       -13.1730282402 
        3.0950000000         1.5000000000         0.7058573397         4.2092502090       -13.2394276371 
        3.1000000000         1.5000000000         0.6982104853         4.1557294354       -13.4386258277 
        3.1050000000         1.5000000000         0.6931125823         4.1022086618       -13.5714246215 
        3.1100000000         1.5000000000         0.6854657278         4.0410420634       -13.7706228121 
        3.1150000000         1.5000000000         0.6854657278         3.9875212898       -13.7706228121 
        3.1200000000         1.5000000000         0.6931125823         3.9365491244       -13.5714246215 
        3.1250000000         1.5000000000         0.7084062912         3.8932227839       -13.1730282402 
        3.1300000000         1.5000000000         0.7007594367         3.8371534020       -13.3722264308 
        3.1350000000         1.5000000000         0.6931125823         3.7810840201       -13.5714246215 
        3.1400001000         1.5000000000         0.6905636308         3.7250146382       -13.6378240183 
        3.1450000000         1.5000000000         0.6854657278         3.6714938646       -13.7706228121 
        3.1500000000         1.5000000000         0.6956615338         3.6256189158       -13.5050252246 
        3.1550000000         1.5000000000         0.7058573397         3.5797439670       -13.2394276371 
        3.1600001000         1.5000000000         0.7007594367         3.5262231934       -13.3722264308 
        3.1650000000         1.5000000000         0.6982104853         3.4752510280       -13.4386258277 
        3.1700000000         1.5000000000         0.6880146793         3.4089872131       -13.7042234152 
        3.1750001000         1.5000000000         0.6905636308         3.3554664395       -13.6378240183 
        3.1800001000         1.5000000000         0.6905636308         3.3070428824       -13.6378240183 
        3.1850000000         1.5000000000         0.7058573397         3.2662651501       -13.2394276371 
        3.1900001000         1.5000000000         0.7033083882         3.2152929848       -13.3058270340 
        3.1950000000         1.5000000000         0.7007594367         3.1617722112       -13.3722264308 
        3.2000001000         1.5000000000         0.6956615338         3.1031542210       -13.5050252246 
        3.2050000000         1.5000000000         0.7007594367         3.0572792722       -13.3722264308 
        3.2100000000         1.5000000000         0.6931125823         2.9986612821       -13.5714246215 
        3.2150000000         1.5000000000         0.7007594367         2.9476891167       -13.3722264308 
        3.2200000000         1.5000000000         0.7007594367         2.8992655596       -13.3722264308 
        3.2250000000         1.5000000000         0.7007594367         2.8508420026       -13.3722264308 
        3.2300000000         1.5000000000         0.7058573397         2.7998698372       -13.2394276371 
        3.2350000000         1.5000000000         0.6931125823         2.7361546305       -13.5714246215 
        3.2400000000         1.5000000000         0.7007594367         2.6902796817       -13.3722264308 
        3.2450000000         1.5000000000         0.6931125823         2.6342102998       -13.5714246215 
        3.2500000000         1.5000000000         0.6982104853         2.5934325675       -13.4386258277 
        3.2550000000         1.5000000000         0.6982104853         2.5348145774       -13.4386258277 
        3.2600000000         1.5000000000         0.6956615338         2.4863910203       -13.5050252246 
        3.2650001000         1.5000000000         0.6905636308         2.4328702467       -13.6378240183 
        3.2700000000         1.5000000000         0.6931125823         2.3768008648       -13.5714246215 
        3.2750000000         1.5000000000         0.6931125823         2.3334745243       -13.5714246215 
        3.2800000000         1.5000000000         0.6931125823         2.2748565341       -13.5714246215 
        3.2850001000         1.5000000000         0.6931125823         2.2213357605       -13.5714246215 
        3.2900000000         1.5000000000         0.6931125823         2.1678149869       -13.5714246215 
        3.2950000000         1.5000000000         0.6956615338         2.1142942133       -13.5050252246 
        3.3000001000         1.5000000000         0.6829167763         2.0556762231       -13.8370222089 
        3.3050001000         1.5000000000         0.7007594367         2.0148984909       -13.3722264308 
        3.3100000000         1.5000000000         0.6829167763         1.9562805007       -13.8370222089 
        3.3150001000         1.5000000000         0.6931125823         1.9027597271       -13.5714246215 
        3.3200000000         1.5000000000         0.6931125823         1.8517875618       -13.5714246215 
        3.3250001000         1.5000000000         0.6931125823         1.7982667881       -13.5714246215 
        3.3300000000         1.5000000000         0.6931125823         1.7447460145       -13.5714246215 
        3.3350000000         1.5000000000         0.6880146793         1.6861280244       -13.7042234152 
        3.3400004000         1.5000000000         0.6982104853         1.6402530756       -13.4386258277 
        3.3450000000         1.5000000000         0.6956615338         1.5892809102       -13.5050252246 
        3.3500000000         1.5000000000         0.7007594367         1.5434059614       -13.3722264308 
        3.3550000000         1.5000000000         0.6956615338         1.4847879713       -13.5050252246 
        3.3600000000         1.5000000000         0.7007594367         1.4338158059       -13.3722264308 
        3.3650000000         1.5000000000         0.6931125823         1.3751978158       -13.5714246215 
        3.3700000000         1.5000000000         0.6956615338         1.3318714752       -13.5050252246 
        3.3750000000         1.5000000000         0.6982104853         1.2732534851       -13.4386258277 
        3.3800000000         1.5000000000         0.7058573397         1.2299271445       -13.2394276371 
        3.3850000000         1.5000000000         0.7007594367         1.1738577626       -13.3722264308 
        3.3900001000         1.5000000000         0.6931125823         1.1305314221       -13.5714246215 
        3.3950000000         1.5000000000         0.6931125823         1.0770106485       -13.5714246215 
        3.4000000000         1.5000000000         0.6956615338         1.0260384831       -13.5050252246 
        3.4050000000         1.5000000000         0.6982104853         0.9776149261       -13.4386258277 
        3.4100001000         1.5000000000         0.7007594367         0.9240941524       -13.3722264308 
        3.4150000000         1.5000000000         0.6905636308         0.8654761623       -13.6378240183 
        3.4200000000         1.5000000000         0.6905636308         0.8119553887       -13.6378240183 
        3.4250001000         1.5000000000         0.6880146793         0.7660804399       -13.7042234152 
        3.4300001000         1.5000000000         0.6880146793         0.7074624497       -13.7042234152 
        3.4350000000         1.5000000000         0.6931125823         0.6590388926       -13.5714246215 
        3.4400001000         1.5000000000         0.6931125823         0.6004209025       -13.5714246215 
        3.4450000000         1.5000000000         0.6931125823         0.5469001289       -13.5714246215 
        3.4500001000         1.5000000000         0.7084062912         0.5086710049       -13.1730282402 
        3.4550000000         1.5000000000         0.7109552427         0.4576988395       -13.1066288434 
        3.4600061000         1.5000000000         0.7084062912         0.4041780659       -13.1730282402 
        3.4650000000         1.5000000000         0.7058573397         0.3430114675       -13.2394276371 
        3.4700000000         1.5000000000         0.7007594367         0.2971365187       -13.3722264308 
