           Time[sec]           V_{cmd}[V]          V_{gyro}[V] \omega_{gyro}[rad/s]          \theta[rad] 
        0.9950000000        -0.4600000000         0.8562454774        -9.3214129301         0.5593800605 
        1.0000000000        -0.4600000000         0.8817349922        -8.6574189614         0.5113399264 
        1.0050000000        -0.4600000000         0.8791860408        -8.7238183583         0.4697051435 
        1.0100000000        -0.4600000000         0.9021266041        -8.1262237865         0.4344757119 
        1.0150000000        -0.4600000000         0.8689902348        -8.9894159458         0.3928409291 
        1.0200001000        -0.4600000000         0.8868328952        -8.5246201677         0.3480034706 
        1.0250000000        -0.4600000000         0.8817349922        -8.6574189614         0.3191793902 
        1.0300000000        -0.4600000000         0.9021266041        -8.1262237865         0.2711392561 
        1.0350000000        -0.4600000000         0.8715391863        -8.9230165489         0.2263017977 
        1.0400000000        -0.4600000000         0.8868328952        -8.5246201677         0.2006803928 
        1.0450000000        -0.4600000000         0.9148713616        -7.7942268021         0.1526402588 
        1.0500000000        -0.4600000000         0.8868328952        -8.5246201677         0.1078028003 
        1.0550000000        -0.4600000000         0.8970287012        -8.2590225802         0.0789787199 
        1.0600000000        -0.4600000000         0.8842839437        -8.5910195645         0.0213305590 
        1.0650000000        -0.4600000000         0.8970287012        -8.2590225802        -0.0074935214 
        1.0700000000        -0.4600000000         0.8868328952        -8.5246201677        -0.0459256287 
        1.0750000000        -0.4600000000         0.8944797497        -8.3254219771        -0.0907630871 
        1.0800000000        -0.4600000000         0.8740881378        -8.8566171520        -0.1323978700 
        1.0850000000        -0.4600000000         0.9199692645        -7.6614280084        -0.1612219504 
        1.0900000000        -0.4600000000         0.8868328952        -8.5246201677        -0.2028567333 
        1.0950000000        -0.4600000000         0.9097734586        -7.9270255959        -0.2412888405 
        1.1000000000        -0.4600000000         0.8817349922        -8.6574189614        -0.2893289746 
        1.1050000000        -0.4600000000         0.9021266041        -8.1262237865        -0.3341664330 
        1.1100000000        -0.4600000000         0.8740881378        -8.8566171520        -0.3725985403 
        1.1150000000        -0.4600000000         0.9046755556        -8.0598243896        -0.4078279719 
        1.1200000000        -0.4600000000         0.8868328952        -8.5246201677        -0.4398547279 
        1.1250000000        -0.4600000000         0.8868328952        -8.5246201677        -0.5007055644 
        1.1300000000        -0.4600000000         0.8970287012        -8.2590225802        -0.5295296448 
        1.1350000000        -0.4600000000         0.8995776526        -8.1926231833        -0.5615564009 
        1.1400000000        -0.4600000000         0.8970287012        -8.2590225802        -0.6095965349 
        1.1450001000        -0.4600000000         0.9072245071        -7.9934249927        -0.6416232910 
        1.1500000000        -0.4600000000         0.8868328952        -8.5246201677        -0.6832580738 
        1.1550001000        -0.4600000000         0.9046755556        -8.0598243896        -0.7216901811 
        1.1600000000        -0.4600000000         0.8893818467        -8.4582207708        -0.7633249639 
        1.1650013000        -0.4600000000         0.8944797497        -8.3254219771        -0.8113650980 
        1.1700000000        -0.4600000000         0.8970287012        -8.2590225802        -0.8433918540 
        1.1750000000        -0.4600000000         0.9174203130        -7.7278274052        -0.8818239613 
        1.1800000000        -0.4600000000         0.8919307982        -8.3918213739        -0.9298640953 
        1.1850000000        -0.4600000000         0.8919307982        -8.3918213739        -0.9586881758 
        1.1900000000        -0.4600000000         0.9250671675        -7.5286292146        -0.9907149318 
        1.1950000000        -0.4600000000         0.8944797497        -8.3254219771        -1.0419577415 
        1.2000000000        -0.4600000000         0.9072245071        -7.9934249927        -1.0707818219 
        1.2050000000        -0.4600000000         0.9097734586        -7.9270255959        -1.1028085779 
        1.2100000000        -0.4600000000         0.9021266041        -8.1262237865        -1.1476460364 
        1.2150000000        -0.4600000000         0.9148713616        -7.7942268021        -1.1860781436 
        1.2200000000        -0.4600000000         0.9046755556        -8.0598243896        -1.2309156021 
        1.2250000000        -0.4600000000         0.9123224101        -7.8606261990        -1.2693477093 
        1.2300000000        -0.4600000000         0.9046755556        -8.0598243896        -1.3077798166 
        1.2350000000        -0.4600000000         0.9072245071        -7.9934249927        -1.3526172750 
        1.2400000000        -0.4600000000         0.8995776526        -8.1926231833        -1.3782386799 
        1.2450038000        -0.4600000000         0.9174203130        -7.7278274052        -1.4134681115 
        1.2500000000        -0.4600000000         0.8944797497        -8.3254219771        -1.4711162724 
        1.2550000000        -0.4600000000         0.8970287012        -8.2590225802        -1.4967376772 
        1.2600000000        -0.4600000000         0.9097734586        -7.9270255959        -1.5479804869 
        1.2650000000        -0.4600000000         0.9072245071        -7.9934249927        -1.5800072429 
        1.2700001000        -0.4600000000         0.9021266041        -8.1262237865        -1.6248447014 
        1.2750000000        -0.4600000000         0.8995776526        -8.1926231833        -1.6568714574 
        1.2800001000        -0.4600000000         0.8995776526        -8.1926231833        -1.6985062402 
        1.2850000000        -0.4600000000         0.9046755556        -8.0598243896        -1.7465463743 
        1.2900000000        -0.4600000000         0.8995776526        -8.1926231833        -1.7785731303 
        1.2950000000        -0.4600000000         0.8893818467        -8.4582207708        -1.8234105888 
        1.3000000000        -0.4600000000         0.9046755556        -8.0598243896        -1.8522346692 
        1.3050000000        -0.4600000000         0.9072245071        -7.9934249927        -1.9002748033 
        1.3100000000        -0.4600000000         0.8970287012        -8.2590225802        -1.9483149373 
        1.3150000000        -0.4600000000         0.8970287012        -8.2590225802        -1.9707336666 
        1.3200000000        -0.4600000000         0.8970287012        -8.2590225802        -2.0187738006 
        1.3250000000        -0.4600000000         0.9021266041        -8.1262237865        -2.0508005567 
        1.3300003000        -0.4600000000         0.9021266041        -8.1262237865        -2.0988406907 
        1.3350009000        -0.4600000000         0.8970287012        -8.2590225802        -2.1372727980 
        1.3400000000        -0.4600000000         0.8970287012        -8.2590225802        -2.1692995540 
        1.3450000000        -0.4600000000         0.9046755556        -8.0598243896        -2.2173396881 
        1.3500000000        -0.4600000000         0.8970287012        -8.2590225802        -2.2685824977 
        1.3550000000        -0.4600000000         0.8995776526        -8.1926231833        -2.3006092538 
        1.3600000000        -0.4600000000         0.8893818467        -8.4582207708        -2.3486493878 
        1.3650000000        -0.4600000000         0.9021266041        -8.1262237865        -2.3806761439 
        1.3700000000        -0.4600000000         0.8842839437        -8.5910195645        -2.4255136023 
        1.3750000000        -0.4600000000         0.8893818467        -8.4582207708        -2.4639457096 
        1.3800000000        -0.4600000000         0.8919307982        -8.3918213739        -2.5055804924 
        1.3850000000        -0.4600000000         0.8842839437        -8.5910195645        -2.5440125996 
        1.3900000000        -0.4600000000         0.8944797497        -8.3254219771        -2.5952554093 
        1.3950001000        -0.4600000000         0.8944797497        -8.3254219771        -2.6400928678 
        1.4000000000        -0.4600000000         0.8919307982        -8.3918213739        -2.6817276506 
        1.4050001000        -0.4600000000         0.8766370893        -8.7902177552        -2.7201597579 
        1.4100000000        -0.4600000000         0.8919307982        -8.3918213739        -2.7521865139 
        1.4150000000        -0.4600000000         0.8817349922        -8.6574189614        -2.8002266480 
        1.4200000000        -0.4600000000         0.8893818467        -8.4582207708        -2.8354560796 
        1.4250000000        -0.4600000000         0.8970287012        -8.2590225802        -2.8738881868 
        1.4300000000        -0.4600000000         0.8893818467        -8.4582207708        -2.9155229697 
        1.4350000000        -0.4600000000         0.9021266041        -8.1262237865        -2.9731711306 
        1.4400000000        -0.4600000000         0.8842839437        -8.5910195645        -3.0148059134 
        1.4450000000        -0.4600000000         0.8893818467        -8.4582207708        -3.0500353451 
        1.4500000000        -0.4600000000         0.9046755556        -8.0598243896        -3.0884674523 
        1.4550000000        -0.4600000000         0.8842839437        -8.5910195645        -3.1461156132 
        1.4600000000        -0.4600000000         0.8868328952        -8.5246201677        -3.1397102620 
        1.4650000000        -0.4600000000         0.8944797497        -8.3254219771        -3.1301022351 
        1.4700000000        -0.4600000000         0.8817349922        -8.6574189614        -3.1461156132 
        1.4750000000        -0.4600000000         0.8868328952        -8.5246201677        -1.7657624279 
        1.4800000000        -0.4600000000         0.8970287012        -8.2590225802        -1.7529517255 
        1.4850000000        -0.4600000000         0.8842839437        -8.5910195645         3.1407365971 
        1.4900000000        -0.4600000000         0.8919307982        -8.3918213739         3.1375339215 
        1.4950000000        -0.4600000000         0.8842839437        -8.5910195645         3.1343312459 
        1.5000000000        -0.4600000000         0.8868328952        -8.5246201677         3.1375339215 
        1.5050045000        -0.4600000000         0.9072245071        -7.9934249927         3.1087098411 
        1.5100000000        -0.4600000000         0.8868328952        -8.5246201677         3.0542643558 
        1.5150000000        -0.4600000000         0.8995776526        -8.1926231833         3.0158322486 
        1.5200001000        -0.4600000000         0.8868328952        -8.5246201677         2.9709947901 
        1.5250000000        -0.4600000000         0.9021266041        -8.1262237865         2.9357653585 
        1.5300001000        -0.4600000000         0.8842839437        -8.5910195645         2.8909279000 
        1.5350000000        -0.4600000000         0.8919307982        -8.3918213739         2.8396850904 
        1.5400000000        -0.4600000000         0.8919307982        -8.3918213739         2.8108610099 
        1.5450000000        -0.4600000000         0.9021266041        -8.1262237865         2.7628208759 
        1.5500000000        -0.4600000000         0.8536965259        -9.3878123270         2.7019700394 
        1.5550000000        -0.4600000000         0.8766370893        -8.7902177552         2.6699432834 
        1.5600000000        -0.4600000000         0.9021266041        -8.1262237865         2.6315111761 
        1.5650000000        -0.4600000000         0.9148713616        -7.7942268021         2.5930790689 
        1.5700000000        -0.4600000000         0.8740881378        -8.8566171520         2.5514442860 
        1.5750022000        -0.4600000000         0.9021266041        -8.1262237865         2.5066068276 
        1.5800000000        -0.4600000000         0.8689902348        -8.9894159458         2.4553640179 
        1.5850000000        -0.4600000000         0.8893818467        -8.4582207708         2.4137292351 
        1.5900000000        -0.4600000000         0.8842839437        -8.5910195645         2.3560810742 
        1.5950000000        -0.4600000000         0.8536965259        -9.3878123270         2.3176489670 
        1.6000000000        -0.4600000000         0.8944797497        -8.3254219771         2.2888248865 
        1.6050000000        -0.4600000000         0.8970287012        -8.2590225802         2.2375820769 
        1.6100000000        -0.4600000000         0.8893818467        -8.4582207708         2.1959472940 
        1.6150000000        -0.4600000000         0.8740881378        -8.8566171520         2.1639205380 
        1.6200000000        -0.4600000000         0.8842839437        -8.5910195645         2.1062723771 
        1.6250000000        -0.4600000000         0.8689902348        -8.9894159458         2.0646375943 
        1.6300000000        -0.4600000000         0.8817349922        -8.6574189614         2.0165974602 
        1.6350000000        -0.4600000000         0.8664412833        -9.0558153426         1.9813680286 
        1.6400000000        -0.4600000000         0.8842839437        -8.5910195645         1.9429359213 
        1.6450001000        -0.4600000000         0.8944797497        -8.3254219771         1.8916931116 
        1.6500000000        -0.4600000000         0.8740881378        -8.8566171520         1.8500583288 
        1.6550001000        -0.4600000000         0.8766370893        -8.7902177552         1.8084235459 
        1.6600000000        -0.4600000000         0.8638923318        -9.1222147395         1.7635860875 
        1.6650000000        -0.4600000000         0.8817349922        -8.6574189614         1.7155459534 
        1.6700000000        -0.4600000000         0.8740881378        -8.8566171520         1.6835191974 
        1.6750000000        -0.4600000000         0.8715391863        -8.9230165489         1.6386817389 
        1.6800000000        -0.4600000000         0.8715391863        -8.9230165489         1.5970469561 
        1.6850007000        -0.4600000000         0.9046755556        -8.0598243896         1.5586148488 
        1.6900000000        -0.4600000000         0.8638923318        -9.1222147395         1.5105747148 
        1.6950039000        -0.4600000000         0.8893818467        -8.4582207708         1.4785479588 
        1.7000000000        -0.4600000000         0.8791860408        -8.7238183583         1.4337105003 
        1.7050000000        -0.4600000000         0.8817349922        -8.6574189614         1.3952783931 
        1.7100000000        -0.4600000000         0.8842839437        -8.5910195645         1.3504409346 
        1.7150000000        -0.4600000000         0.8817349922        -8.6574189614         1.3152115030 
        1.7200000000        -0.4600000000         0.8944797497        -8.3254219771         1.2639686933 
        1.7250000000        -0.4600000000         0.8893818467        -8.4582207708         1.2255365860 
        1.7300000000        -0.4600000000         0.8944797497        -8.3254219771         1.1839018032 
        1.7350000000        -0.4600000000         0.8766370893        -8.7902177552         1.1422670204 
        1.7400000000        -0.4600000000         0.8970287012        -8.2590225802         1.1102402643 
