           Time[sec]           V_{cmd}[V]          V_{gyro}[V] \omega_{gyro}[rad/s]          \theta[rad] 
        0.9100000000         0.7800000000         1.7993575272        15.2463639116         0.1910723660 
        0.9150000000         0.7800000000         1.8095533331        15.5119614990         0.2743419317 
        0.9200000000         0.7800000000         1.8248470420        15.9103578803         0.3480034706 
        0.9250001000         0.7800000000         1.7993575272        15.2463639116         0.4056516315 
        0.9300001000         0.7800000000         1.8121022846        15.5783608959         0.4953265484 
        0.9350001000         0.7800000000         1.8019064786        15.3127633084         0.5753934385 
        0.9400031000         0.7800000000         1.8197491390        15.7775590865         0.6426496262 
        0.9450005000         0.7800000000         1.8044554301        15.3791627053         0.7131084894 
        0.9500001000         0.7800000000         1.8197491390        15.7775590865         0.8027834063 
        0.9550001000         0.7800000000         1.8019064786        15.3127633084         0.8796476208 
        0.9600001000         0.7800000000         1.8019064786        15.3127633084         0.9404984573 
        0.9650001000         0.7800000000         1.8121022846        15.5783608959         1.0173626718 
        0.9700000000         0.7800000000         1.7917106727        15.0471657209         1.0814161839 
        0.9750000000         0.7800000000         1.8070043816        15.4455621022         1.1678884252 
        0.9800000000         0.7800000000         1.7942596242        15.1135651178         1.2447526397 
        0.9850001000         0.7800000000         1.8095533331        15.5119614990         1.3056034761 
        0.9900001000         0.7800000000         1.8044554301        15.3791627053         1.3984810687 
        0.9950001000         0.7800000000         1.7993575272        15.2463639116         1.4785479588 
        1.0000000000         0.7800000000         1.8044554301        15.3791627053         1.5426014708 
        1.0050000000         0.7800000000         1.7866127697        14.9143669272         1.6098576585 
        1.0100001000         0.7800000000         1.8121022846        15.5783608959         1.6867218730 
        1.0150000000         0.7800000000         1.7942596242        15.1135651178         1.7667887631 
        1.0200001000         0.7800000000         1.8044554301        15.3791627053         1.8340449508 
        1.0250001000         0.7800000000         1.7738680123        14.5823699429         1.9013011385 
        1.0300000000         0.7800000000         1.8019064786        15.3127633084         1.9909760554 
        1.0350000000         0.7800000000         1.7993575272        15.2463639116         2.0710429455 
        1.0400000000         0.7800000000         1.7840638182        14.8479675303         2.1350964575 
        1.0450000000         0.7800000000         1.7840638182        14.8479675303         2.1991499696 
        1.0500001000         0.7800000000         1.7662211578        14.3831717523         2.2792168597 
        1.0550001000         0.7800000000         1.8070043816        15.4455621022         2.3624864254 
        1.0600001000         0.7800000000         1.7738680123        14.5823699429         2.4329452887 
        1.0650000000         0.7800000000         1.7840638182        14.8479675303         2.5002014764 
        1.0700000000         0.7800000000         1.7866127697        14.9143669272         2.5834710421 
        1.0750000000         0.7800000000         1.7713190608        14.5159705460         2.6507272298 
        1.0800001000         0.7800000000         1.7968085757        15.1799645147         2.7339967954 
        1.0850001000         0.7800000000         1.7662211578        14.3831717523         2.8012529831 
        1.0900001000         0.7800000000         1.8044554301        15.3791627053         2.8749145220 
        1.0950000000         0.7800000000         1.7789659153        14.7151687366         2.9549814121 
        1.1000000000         0.7800000000         1.8070043816        15.4455621022         3.0350483022 
        1.1050000000         0.7800000000         1.7815148668        14.7815681335         3.1055071655 
        1.1100001000         0.7800000000         1.7942596242        15.1135651178         3.1407365971 
        1.1150001000         0.7800000000         1.7840638182        14.8479675303         3.1407365971 
        1.1200001000         0.7800000000         1.7815148668        14.7815681335        -1.7369383475 
        1.1250000000         0.7800000000         1.7993575272        15.2463639116        -3.1397102620 
        1.1300000000         0.7800000000         1.7840638182        14.8479675303        -3.1397102620 
        1.1350001000         0.7800000000         1.7917106727        15.0471657209        -3.1076835059 
        1.1400000000         0.7800000000         1.8019064786        15.3127633084        -3.0276166158 
        1.1450001000         0.7800000000         1.7789659153        14.7151687366        -2.9667657794 
        1.1500001000         0.7800000000         1.8044554301        15.3791627053        -2.8866988893 
        1.1550001000         0.7800000000         1.7968085757        15.1799645147        -2.8002266480 
        1.1600000000         0.7800000000         1.8019064786        15.3127633084        -2.7329704603 
        1.1650000000         0.7800000000         1.7942596242        15.1135651178        -2.6529035702 
        1.1700000000         0.7800000000         1.8019064786        15.3127633084        -2.5792420313 
        1.1750001000         0.7800000000         1.8172001876        15.7111596896        -2.4991751412 
        1.1800001000         0.7800000000         1.8070043816        15.4455621022        -2.4159055755 
        1.1850001000         0.7800000000         1.8044554301        15.3791627053        -2.3390413610 
        1.1900000000         0.7800000000         1.7968085757        15.1799645147        -2.2685824977 
        1.1950000000         0.7800000000         1.8121022846        15.5783608959        -2.1885156076 
        1.2000000000         0.7800000000         1.8070043816        15.4455621022        -2.1244620955 
        1.2050001000         0.7800000000         1.7993575272        15.2463639116        -2.0475978811 
        1.2100001000         0.7800000000         1.8044554301        15.3791627053        -1.9707336666 
        1.2150001000         0.7800000000         1.8070043816        15.4455621022        -1.9066801545 
        1.2200005000         0.7800000000         1.8121022846        15.5783608959        -1.8202079132 
        1.2250000000         0.7800000000         1.7917106727        15.0471657209        -1.7465463743 
        1.2300000000         0.7800000000         1.8222980905        15.8439584834        -1.6696821598 
        1.2350001000         0.7800000000         1.8019064786        15.3127633084        -1.5928179453 
        1.2400001000         0.7800000000         1.8070043816        15.4455621022        -1.5319671088 
        1.2450001000         0.7800000000         1.8146512361        15.6447602928        -1.4422921919 
        1.2500000000         0.7800000000         1.8121022846        15.5783608959        -1.3718333287 
        1.2550000000         0.7800000000         1.7993575272        15.2463639116        -1.3013744654 
        1.2600001000         0.7800000000         1.7968085757        15.1799645147        -1.2245102509 
        1.2650000000         0.7800000000         1.8299449450        16.0431566740        -1.1316326584 
        1.2700035000         0.7800000000         1.8121022846        15.5783608959        -1.0675791463 
        1.2750001000         0.7800000000         1.8375917995        16.2423548646        -0.9811069050 
        1.2800001000         0.7800000000         1.7993575272        15.2463639116        -0.9138507173 
        1.2850000000         0.7800000000         1.8273959935        15.9767572771        -0.8337838272 
        1.2900000000         0.7800000000         1.8044554301        15.3791627053        -0.7697303151 
        1.2950000000         0.7800000000         1.8222980905        15.8439584834        -0.6960687762 
        1.3000001000         0.7800000000         1.8070043816        15.4455621022        -0.6224072374 
        1.3050001000         0.7800000000         1.8095533331        15.5119614990        -0.5423403473 
        1.3100001000         0.7800000000         1.8121022846        15.5783608959        -0.4750841596 
        1.3150000000         0.7800000000         1.8350428480        16.1759554677        -0.3822065671 
        1.3200000000         0.7800000000         1.8044554301        15.3791627053        -0.3149503794 
        1.3250000000         0.7800000000         1.8095533331        15.5119614990        -0.2412888405 
        1.3300001000         0.7800000000         1.8044554301        15.3791627053        -0.1708299772 
        1.3350001000         0.7800000000         1.8273959935        15.9767572771        -0.1003711139 
        1.3400001000         0.7800000000         1.8070043816        15.4455621022        -0.0074935214 
        1.3450000000         0.7800000000         1.8273959935        15.9767572771         0.0693706931 
        1.3500000000         0.7800000000         1.7993575272        15.2463639116         0.1366268808 
        1.3550000000         0.7800000000         1.8222980905        15.8439584834         0.2038830684 
        1.3600001000         0.7800000000         1.7993575272        15.2463639116         0.2775446073 
        1.3650001000         0.7800000000         1.8197491390        15.7775590865         0.3640168486 
        1.3700001000         0.7800000000         1.8019064786        15.3127633084         0.4312730363 
        1.3750000000         0.7800000000         1.7968085757        15.1799645147         0.4985292240 
        1.3800000000         0.7800000000         1.8121022846        15.5783608959         0.5850014653 
        1.3850001000         0.7800000000         1.8044554301        15.3791627053         0.6458523018 
        1.3900000000         0.7800000000         1.8019064786        15.3127633084         0.7259191919 
        1.3950001000         0.7800000000         1.7891617212        14.9807663241         0.8027834063 
        1.4000001000         0.7800000000         1.8019064786        15.3127633084         0.8700395940 
        1.4050001000         0.7800000000         1.7968085757        15.1799645147         0.9437011329 
        1.4100000000         0.7800000000         1.8222980905        15.8439584834         1.0333760498 
        1.4150000000         0.7800000000         1.7840638182        14.8479675303         1.0942268863 
        1.4200000000         0.7800000000         1.8070043816        15.4455621022         1.1774964520 
        1.4250001000         0.7800000000         1.7942596242        15.1135651178         1.2511579909 
        1.4300001000         0.7800000000         1.8197491390        15.7775590865         1.3216168542 
        1.4350001000         0.7800000000         1.7942596242        15.1135651178         1.4016837443 
        1.4400000000         0.7800000000         1.7866127697        14.9143669272         1.4817506344 
        1.4450000000         0.7800000000         1.8019064786        15.3127633084         1.5458041464 
        1.4500000000         0.7800000000         1.8019064786        15.3127633084         1.6226683609 
        1.4550001000         0.7800000000         1.8044554301        15.3791627053         1.7027352510 
        1.4600001000         0.7800000000         1.8095533331        15.5119614990         1.7667887631 
        1.4650001000         0.7800000000         1.7866127697        14.9143669272         1.8500583288 
        1.4700000000         0.7800000000         1.7840638182        14.8479675303         1.9141118409 
        1.4750000000         0.7800000000         1.8044554301        15.3791627053         1.9941787310 
        1.4800000000         0.7800000000         1.7815148668        14.7815681335         2.0614349186 
        1.4850001000         0.7800000000         1.7866127697        14.9143669272         2.1415018087 
