           Time[sec]  \omega_{cmd}[rad/s]          V_{gyro}[V] \omega_{gyro}[rad/s]          \theta[rad] 
        1.1150000000         3.3200000000         1.6566162440        11.5723524840         1.0557947790 
        1.1200000000         3.3200000000         1.6591651954        11.6387518809         1.1070375887 
        1.1250000000         3.3200000000         1.6617141469        11.7051512777         1.1742937764 
        1.1300000000         3.3200000000         1.6540672925        11.5059530871         1.2191312348 
        1.1350001000         3.3200000000         1.6591651954        11.6387518809         1.2735767201 
        1.1400000000         3.3200000000         1.6795568073        12.1699470558         1.3440355834 
        1.1450001000         3.3200000000         1.6285777776        10.8419591184         1.3952783931 
        1.1500000000         3.3200000000         1.6591651954        11.6387518809         1.4497238783 
        1.1550001000         3.3200000000         1.6515183410        11.4395536902         1.5297907684 
        1.1600000000         3.3200000000         1.6311267291        10.9083585153         1.5714255513 
        1.1650000000         3.3200000000         1.6973994677        12.6347428339         1.6258710365 
        1.1700000000         3.3200000000         1.6311267291        10.9083585153         1.6707084950 
        1.1750000000         3.3200000000         1.6209309231        10.6427609278         1.7379646827 
        1.1800000000         3.3200000000         1.6770078558        12.1035476589         1.7924101679 
        1.1850000000         3.3200000000         1.6387735836        11.1075567059         1.8468556532 
