           Time[sec]           V_{cmd}[V]          V_{gyro}[V] \omega_{gyro}[rad/s]          \theta[rad] 
        0.5200000000         0.6288126743         1.6693610014        11.8808440818         1.1935098300 
        0.5250000000         0.6227031135         1.6515183410        11.4160483038         1.2479553153 
        0.5300000000         0.6163573143         1.7075952737        12.8768350349         1.3248195298 
        0.5350000000         0.6097776842         1.6515183410        11.4160483038         1.3760623394 
        0.5400001000         0.6029665808         1.6770078558        12.0800422724         1.4337105003 
        0.5450001000         0.5959268605         1.6642630984        11.7480452881         1.4849533100 
        0.5500000000         0.5886612076         1.6617141469        11.6816458912         1.5458041464 
        0.5550000000         0.5811720880         1.6719099529        11.9472434787         1.6130603341 
        0.5600000000         0.5734624859         1.6795568073        12.1464416693         1.6739111706 
        0.5650000000         0.5655353261         1.6668120499        11.8144446850         1.7283566558 
        0.5703145000         0.5568744010         1.6770078558        12.0800422724         1.7731941143 
        0.5750001000         0.5490402752         1.6464204380        11.2832495100         1.8372476264 
        0.5800001000         0.5404788069         1.6821057588        12.2128410662         1.8980984629 
        0.5850000000         0.5317124715         1.6413225350        11.1504507163         1.9493412725 
        0.5900000000         0.5227442440         1.6642630984        11.7480452881         2.0069894334 
        0.5950000000         0.5135777001         1.6413225350        11.1504507163         2.0678402699 
        0.6000000000         0.5042163174         1.6642630984        11.7480452881         2.1190830795 
        0.6050001000         0.4946634544         1.6438714865        11.2168501131         2.1863392672 
        0.6100000000         0.4849233139         1.6719099529        11.9472434787         2.2375820769 
        0.6150000000         0.4749990125         1.6311267291        10.8848531288         2.2888248865 
        0.6200000000         0.4648945080         1.6030882627        10.1544597632         2.3400676962 
        0.6250000000         0.4546136338         1.6642630984        11.7480452881         2.4073238839 
        0.6300000000         0.4441602904         1.6234798746        10.6856549382         2.4521613423 
        0.6350001000         0.4335382293         1.6413225350        11.1504507163         2.5066068276 
        0.6400001000         0.4227519051         1.6209309231        10.6192555413         2.5642549884 
        0.6450000000         0.4118054196         1.6285777776        10.8184537319         2.6090924469 
        0.6500000000         0.4007024879         1.6081861657        10.2872585570         2.6667406078 
        0.6550000000         0.3894475395         1.6311267291        10.8848531288         2.7147807418 
        0.6600000000         0.3780448441         1.6183819717        10.5528561444         2.7788342539 
        0.6650001000         0.3664984955         1.6056372142        10.2208591601         2.8364824148 
        0.6700001000         0.3548133357         1.6260288261        10.7520543351         2.8845225488 
        0.6750000000         0.3429938062         1.5979903598        10.0216609695         2.9293600073 
        0.6800000000         0.3310439180         1.6005393113        10.0880603664         2.9902108438 
        0.6850000000         0.3189684400         1.6005393113        10.0880603664         3.0414536534 
        0.6900000000         0.3067719530         1.6030882627        10.1544597632         3.0862911119 
        0.6950001000         0.2944588370         1.6030882627        10.1544597632         3.1439392727 
        0.7000001000         0.2820342555         1.6056372142        10.2208591601         3.1407365971 
        0.7050001000         0.2695026770         1.5877945538         9.7560633820         3.1343312459 
        0.7100000000         0.2568691095         1.5954414083         9.9552615726        -1.7497490499 
        0.7150000000         0.2441378405         1.5775987479         9.4904657945        -1.7593570767 
        0.7200000000         0.2313139515         1.5903435053         9.8224627789        -3.1429129376 
        0.7250000000         0.2184023077         1.5903435053         9.8224627789        -3.1333049108 
        0.7300001000         0.2054075467         1.5725008449         9.3576670008        -3.1301022351 
        0.7350000000         0.1923353803         1.5725008449         9.3576670008        -3.1333049108 
        0.7400000000         0.1791899859         1.5674029419         9.2248682071        -3.0820621011 
        0.7450000000         0.1659766112         1.5699518934         9.2912676039        -3.0404273182 
        0.7500000000         0.1527002690         1.5597560875         9.0256700165        -2.9891845086 
        0.7550000000         0.1393659960         1.5674029419         9.2248682071        -2.9347390233 
        0.7600001000         0.1259785828         1.5393644756         8.4944748415        -2.9027122673 
        0.7650001000         0.1125436436         1.5750497964         9.4240663977        -2.8386587552 
        0.7700000000         0.0990662780         1.5266197182         8.1624778572        -2.8194427016 
        0.7750000000         0.0855510600         1.5546581845         8.8928712227        -2.7585918651 
        0.7800000000         0.0720033859         1.5419134271         8.5608742384        -2.7169570823 
        0.7850000000         0.0584283956         1.5393644756         8.4944748415        -2.6753222994 
        0.7900001000         0.0448309668         1.5266197182         8.1624778572        -2.6400928678 
        0.7950001000         0.0312168020         1.5317176211         8.2952766509        -2.5952554093 
        0.8000000000         0.0175910668         1.5087770578         7.6976820791        -2.5664313289 
        0.8050000000         0.0039583856         1.5164239122         7.8968802697        -2.5279992216 
        0.8100000000        -0.0096757972         1.5011302033         7.4984838885        -2.4767564120 
        0.8150000000        -0.0233063093         1.4960323003         7.3656850947        -2.4511350071 
        0.8200001000        -0.0369282519         1.4603469795         6.4360935385        -2.4255136023 
        0.8250001000        -0.0505359123         1.4450532706         6.0376971573        -2.3870814951 
        0.8300001000        -0.0641244005         1.4272106102         5.5729013792        -2.3518520634 
        0.8350001000        -0.0776885616         1.3838784350         4.4441116325        -2.3454467122 
        0.8400000000        -0.0912229791         1.2768224726         1.6553369640        -2.3166226318 
        0.8450000000        -0.1047230599         1.1927070735        -0.5358431327        -2.3102172806 
        0.8500000000        -0.1181834113         1.2003539280        -0.3366449421        -2.3294333342 
        0.8550001000        -0.1315991946         1.2130986854        -0.0046479578        -2.3294333342 
        0.8600000000        -0.1449645169         1.2130986854        -0.0046479578        -2.3230279830 
        0.8650000000        -0.1582751109         1.1825112676        -0.8014407202        -2.3230279830 
        0.8700000000        -0.1715256593         1.1468259468        -1.7310322764        -2.3358386854 
        0.8750000000        -0.1847111350         1.1748644131        -1.0006389108        -2.3358386854 
        0.8800000000        -0.1978265358         1.1672175587        -1.1998371014        -2.3358386854 
        0.8850001000        -0.2108671460         1.1442769953        -1.7974316733        -2.3422440366 
        0.8900001000        -0.2238274969         1.1391790923        -1.9302304670        -2.3614600902 
        0.8950000000        -0.2367026764         1.1315322379        -2.1294286576        -2.3614600902 
        0.9000000000        -0.2494883151         1.1187874804        -2.4614256419        -2.3838788195 
        0.9050000000        -0.2621793040         1.1111406260        -2.6606238326        -2.4030948731 
        0.9100000000        -0.2747708285         1.1162385289        -2.5278250388        -2.3934868463 
        0.9150001000        -0.2872583602         1.1009448200        -2.9262214200        -2.4287162779 
        0.9200001000        -0.2996366624         1.1034937715        -2.8598220232        -2.4351216291 
        0.9250000000        -0.3119010457         1.0907490141        -3.1918190075        -2.4511350071 
        0.9300000000        -0.3240473477         1.0907490141        -3.1918190075        -2.4671483852 
        0.9350000000        -0.3360707140         1.0856511111        -3.3246178012        -2.4831617632 
        0.9400000000        -0.3479665834         1.0729063537        -3.6566147856        -2.5023778168 
        0.9450001000        -0.3597306766         1.0703574022        -3.7230141825        -2.5183911948 
        0.9500001000        -0.3713580601         1.0678084507        -3.7894135793        -2.5312018972 
        0.9550001000        -0.3828445595         1.0652594992        -3.8558129762        -2.5472152753 
        0.9600001000        -0.3941858170         1.0448678873        -4.3870081512        -2.5888500581 
        0.9650000000        -0.4053773078         1.0474168388        -4.3206087543        -2.5952554093 
        0.9700000000        -0.4164152336         1.0372210329        -4.5862063418        -2.6240794897 
        0.9750695000        -0.4274452800         1.0499657903        -4.2542093574        -2.6336875166 
        0.9800001000        -0.4380132369         1.0168294210        -5.1174015167        -2.6689169482 
        0.9850000000        -0.4485646954         1.0321231299        -4.7190051355        -2.6817276506 
        0.9900000000        -0.4589461921         0.9989867606        -5.5821972948        -2.7201597579 
        0.9950000000        -0.4691535759         1.0193783725        -5.0510021199        -2.7457811627 
        1.0000000000        -0.4791829742         1.0015357121        -5.5157978979        -2.7778079187 
        1.0050000000        -0.4890305821         1.0040846636        -5.4493985011        -2.8002266480 
        1.0100001000        -0.4986928552         0.9862420032        -5.9141942792        -2.8194427016 
        1.0150001000        -0.5081657412         0.9938888576        -5.7149960885        -2.8610774844 
        1.0200001000        -0.5174458416         0.9683993428        -6.3789900572        -2.8963069161 
        1.0250000000        -0.5265294559         0.9811441002        -6.0469930729        -2.9219283209 
        1.0300000000        -0.5354135015         0.9734972457        -6.2461912635        -2.9571577525 
        1.0350000000        -0.5440944243         0.9607524883        -6.5781882478        -2.9891845086 
        1.0400001000        -0.5525690983         0.9633014398        -6.5117888510        -3.0180085890 
        1.0450001000        -0.5608339695         0.9454587794        -6.9765846291        -3.0692513987 
        1.0500000000        -0.5688859151         0.9505566824        -6.8437858353        -3.0916701279 
        1.0550000000        -0.5767222024         0.9378119249        -7.1757828197        -3.1268995595 
        1.0600000000        -0.5843396955         0.9403608764        -7.1093834228        -3.1429129376 
        1.0650000000        -0.5917355043         0.9174203130        -7.7069779946        -3.1525209644 
        1.0700000000        -0.5989068230         0.9250671675        -7.5077798040        -3.1429129376 
        1.0750001000        -0.6058510678         0.9199692645        -7.6405785978        -3.1365075864 
        1.0800000000        -0.6125651943         0.9225182160        -7.5741792009        -1.7369383475 
        1.0850000000        -0.6190470651         0.9097734586        -7.9061761852        -1.7337356719 
        1.0900000000        -0.6252940845         0.8995776526        -8.1717737727         3.1375339215 
        1.0950000000        -0.6313038826         0.8995776526        -8.1717737727         3.1407365971 
        1.1000000000        -0.6370741795         0.8868328952        -8.5037707571         3.1407365971 
        1.1050001000        -0.6426028940         0.8740881378        -8.8357677414         3.1311285703 
        1.1100000000        -0.6478876045         0.8919307982        -8.3709719633         3.0958991387 
        1.1150000000        -0.6529266304         0.8740881378        -8.8357677414         3.0414536534 
        1.1200000000        -0.6577179519         0.8740881378        -8.8357677414         3.0062242218 
        1.1250000000        -0.6622597512         0.8817349922        -8.6365695508         2.9709947901 
        1.1300000000        -0.6665503053         0.8613433804        -9.1677647258         2.9101439537 
        1.1350001000        -0.6705880647         0.8460496714        -9.5661611070         2.8685091708 
        1.1400001000        -0.6743713361         0.8587944289        -9.2341641226         2.8140636855 
        1.1450001000        -0.6778987674         0.8435007200        -9.6325605038         2.7628208759 
        1.1500000000        -0.6811689577         0.8460496714        -9.5661611070         2.7243887686 
        1.1550001000        -0.6841808547         0.8231091081       -10.1637556788         2.6731459590 
        1.1600000000        -0.6869330749         0.8536965259        -9.3669629164         2.6315111761 
        1.1650001000        -0.6894247944         0.8333049140        -9.8981580913         2.5738630153 
        1.1700001000        -0.6916549104         0.8180112051       -10.2965544725         2.5162148544 
        1.1750000000        -0.6936225928         0.8384028170        -9.7653592976         2.4681747203 
        1.1800000000        -0.6953271736         0.7925216902       -10.9605484412         2.4265399375 
        1.1850000000        -0.6967679643         0.8435007200        -9.6325605038         2.3784998034 
