           Time[sec]          ao1_Vcmd[V]         ai2_Vgyro[V]        ai3_Vpoten[V]         Wgyro[rad/s] 
        3.2700001000         5.0000000000         2.1077806570         0.6513930678        23.2802406411 
        3.2750000000         5.0000000000         2.1205254144         0.7584346151        23.6122376254 
        3.2800000000         5.0000000000         2.1052317055         0.8399900796        23.2138412442 
        3.2850001000         5.0000000000         2.1154275114         0.9342885855        23.4794388317 
        3.2900000000         5.0000000000         2.1128785599         1.0260384831        23.4130394348 
        3.2950000000         5.0000000000         2.1077806570         1.1101425560        23.2802406411 
        3.3000001000         5.0000000000         2.1179764629         1.2120868867        23.5458382285 
        3.3050001000         5.0000000000         2.1154275114         1.2936423512        23.4794388317 
        3.3100000000         5.0000000000         2.1103296084         1.3828436406        23.3466400379 
        3.3150001000         5.0000000000         2.1179764629         1.4694963217        23.5458382285 
        3.3200000000         5.0000000000         2.1154275114         1.5637948275        23.4794388317 
        3.3250001000         5.0000000000         2.1154275114         1.6555447252        23.4794388317 
        3.3300000000         5.0000000000         2.1256233174         1.7523918393        23.7450364191 
        3.3350000000         5.0000000000         2.1128785599         1.8313986956        23.4130394348 
        3.3400000000         5.0000000000         2.1230743659         1.9358916346        23.6786370223 
        3.3450000000         5.0000000000         2.1103296084         2.0225443157        23.3466400379 
        3.3500000000         5.0000000000         2.0950358995         2.1066483885        22.9482436567 
        3.3550000000         5.0000000000         2.1026827540         2.2111413274        23.1474418473 
        3.3600000000         5.0000000000         2.1077806570         2.2926967920        23.2802406411 
        3.3650000000         5.0000000000         2.1179764629         2.3818980814        23.5458382285 
        3.3700000000         5.0000000000         2.1281722688         2.4812938038        23.8114358160 
        3.3750000000         5.0000000000         2.1103296084         2.5603006601        23.3466400379 
        3.3800000000         5.0000000000         2.1154275114         2.6571477742        23.4794388317 
        3.3850000000         5.0000000000         2.1077806570         2.7488976719        23.2802406411 
        3.3900001000         5.0000000000         2.1052317055         2.8330017447        23.2138412442 
        3.3950001000         5.0000000000         2.1103296084         2.9247516423        23.3466400379 
        3.4000000000         5.0000000000         2.1154275114         3.0165015399        23.4794388317 
        3.4050000000         5.0000000000         2.1205254144         3.1031542210        23.6122376254 
        3.4100001000         5.0000000000         2.1077806570         3.1898069021        23.2802406411 
        3.4150000000         5.0000000000         2.1052317055         3.2790081915        23.2138412442 
        3.4200000000         5.0000000000         2.1128785599         3.3784039139        23.4130394348 
        3.4250001000         5.0000000000         2.1205254144         3.4752510280        23.6122376254 
        3.4300001000         5.0000000000         2.1103296084         3.5619037091        23.3466400379 
        3.4350000000         5.0000000000         2.1052317055         3.6409105654        23.2138412442 
        3.4400001000         5.0000000000         2.1077806570         3.7403062879        23.2802406411 
        3.4450000000         5.0000000000         2.1052317055         3.8320561855        23.2138412442 
        3.4500001000         5.0000000000         2.0975848510         3.9187088666        23.0146430536 
        3.4550045000         5.0000000000         2.1026827540         4.0155559807        23.1474418473 
        3.4600000000         5.0000000000         2.0950358995         4.1047572701        22.9482436567 
        3.4650000000         5.0000000000         2.1052317055         4.1914099512        23.2138412442 
        3.4700000000         5.0000000000         2.1179764629         4.2908056736        23.5458382285 
        3.4750000000         5.0000000000         2.1001338025         4.3800069630        23.0810424504 
        3.4800000000         5.0000000000         2.1179764629         4.4844999019        23.5458382285 
        3.4850000000         5.0000000000         2.1205254144         4.5787984078        23.6122376254 
