           Time[sec]             ao1_Vcmd            ai2_Vgyro           ai3_Vpoten                Wgyro 
        1.4850000000         4.1000000000         1.9395498589         4.6323191814        18.8978804477 
        1.4900001000         4.1000000000         1.9471967133         4.7087774294        19.0970786383 
        1.4950000000         4.1000000000         1.9446477619         4.7903328940        19.0306792414 
        1.5000000000         4.1000000000         1.9497456648         4.8667911420        19.1634780351 
        1.5050001000         4.1000000000         1.9420988104         4.9432493900        18.9642798445 
        1.5100001000         4.1000000000         1.9446477619         5.0069645967        19.0306792414 
        1.5150000000         4.1000000000         1.9446477619         4.9993187719        19.0306792414 
        1.5200001000         4.1000000000         1.9420988104         1.1050453394        18.9642798445 
        1.5250000000         4.1000000000         1.9446477619        -0.0010506486        19.0306792414 
        1.5300001000         4.1000000000         1.9522946163         0.0269840423        19.2298774320 
        1.5350000000         4.1000000000         1.9395498589         0.0856020325        18.8978804477 
        1.5400001000         4.1000000000         1.9446477619         0.1620602805        19.0306792414 
        1.5450000000         4.1000000000         1.9446477619         0.2487129616        19.0306792414 
        1.5500000000         4.1000000000         1.9497456648         0.3302684262        19.1634780351 
        1.5550000000         4.1000000000         1.9319030044         0.3914350246        18.6986822571 
        1.5600000000         4.1000000000         1.9446477619         0.4780877057        19.0306792414 
        1.5650000000         4.1000000000         1.9344519559         0.5392543041        18.7650816539 
        1.5700000000         4.1000000000         1.9471967133         0.6284555934        19.0970786383 
        1.5750000000         4.1000000000         1.9370009074         0.6947194084        18.8314810508 
        1.5800000000         4.1000000000         1.9344519559         0.7686290481        18.7650816539 
        1.5850000000         4.1000000000         1.9395498589         0.8425386879        18.8978804477 
        1.5900000000         4.1000000000         1.9420988104         0.9164483276        18.9642798445 
        1.5950000000         4.1000000000         1.9420988104         0.9878093591        18.9642798445 
        1.6000000000         4.1000000000         1.9395498589         1.0591703906        18.8978804477 
        1.6050000000         4.1000000000         1.9395498589         1.1305314221        18.8978804477 
        1.6100000000         4.1000000000         1.9420988104         1.2044410618        18.9642798445 
        1.6150001000         4.1000000000         1.9497456648         1.2834479181        19.1634780351 
        1.6200000000         4.1000000000         1.9471967133         1.3471631248        19.0970786383 
        1.6250000000         4.1000000000         1.9446477619         1.4287185894        19.0306792414 
        1.6300001000         4.1000000000         1.9344519559         1.4898851878        18.7650816539 
        1.6350001000         4.1000000000         1.9446477619         1.5765378689        19.0306792414 
        1.6400000000         4.1000000000         1.9420988104         1.6402530756        18.9642798445 
        1.6450001000         4.1000000000         1.9446477619         1.7090654988        19.0306792414 
        1.6500000000         4.1000000000         1.9395498589         1.7880723551        18.8978804477 
        1.6550001000         4.1000000000         1.9293540529         1.8517875618        18.6322828602 
        1.6600000000         4.1000000000         1.9370009074         1.9333430263        18.8314810508 
        1.6650001000         4.1000000000         1.9420988104         2.0123498826        18.9642798445 
        1.6700000000         4.1000000000         1.9217071985         2.0709678727        18.4330846696 
        1.6750000000         4.1000000000         1.9344519559         2.1525233373        18.7650816539 
        1.6800000000         4.1000000000         1.9344519559         2.2187871522        18.7650816539 
        1.6850000000         4.1000000000         1.9420988104         2.2977940085        18.9642798445 
        1.6900000000         4.1000000000         1.9446477619         2.3691550400        19.0306792414 
        1.6950000000         4.1000000000         1.9395498589         2.4481618963        18.8978804477 
        1.7000000000         4.1000000000         1.9420988104         2.5169743195        18.9642798445 
        1.7050000000         4.1000000000         1.9268051015         2.5857867427        18.5658834633 
        1.7100000000         4.1000000000         1.9420988104         2.6647935990        18.9642798445 
        1.7150000000         4.1000000000         1.9319030044         2.7310574140        18.6986822571 
        1.7200000000         4.1000000000         1.9344519559         2.8100642703        18.7650816539 
        1.7250000000         4.1000000000         1.9471967133         2.8890711266        19.0970786383 
        1.7300000000         4.1000000000         1.9446477619         2.9629807663        19.0306792414 
        1.7350000000         4.1000000000         1.9446477619         3.0343417978        19.0306792414 
        1.7400001000         4.1000000000         1.9344519559         3.0980570045        18.7650816539 
        1.7450000000         4.1000000000         1.9344519559         3.1719666442        18.7650816539 
        1.7500000000         4.1000000000         1.9395498589         3.2509735005        18.8978804477 
        1.7550001000         4.1000000000         1.9268051015         3.3095914907        18.5658834633 
        1.7600001000         4.1000000000         1.9395498589         3.3936955635        18.8978804477 
        1.7650000000         4.1000000000         1.9370009074         3.4599593784        18.8314810508 
        1.7700054000         4.1000000000         1.9370009074         3.5262231934        18.8314810508 
        1.7750000000         4.1000000000         1.9446477619         3.6077786580        19.0306792414 
