           Time[sec]  \omega_{cmd}[rad/s]          V_{gyro}[V] \omega_{gyro}[rad/s]          \theta[rad] 
        1.0400000000         2.5000000000         1.2130986854        31.6008450925         1.5650202001 
        1.0450000000         2.5000000000         1.2130986854        31.6008450925         1.5650202001 
        1.0500000000         2.5000000000         1.2080007824        31.4680462987         1.5586148488 
        1.0550000000         2.5000000000         1.2156476369        31.6672444893         1.5714255513 
        1.0600000000         2.5000000000         1.2156476369        31.6672444893         1.5746282269 
        1.0650000000         2.5000000000         1.2080007824        31.4680462987         1.5586148488 
        1.0700000000         2.5000000000         1.2130986854        31.6008450925         1.5650202001 
        1.0750000000         2.5000000000         1.2054518309        31.4016469019         1.5554121732 
        1.0800000000         2.5000000000         1.2156476369        31.6672444893         1.5714255513 
        1.0850000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        1.0900000000         2.5000000000         1.2156476369        31.6672444893         1.5746282269 
        1.0950000000         2.5000000000         1.2207455399        31.8000432831         1.5714255513 
        1.1000000000         2.5000000000         1.2207455399        31.8000432831         1.5618175245 
        1.1050000000         2.5000000000         1.2105497339        31.5344456956         1.5618175245 
        1.1100000000         2.5000000000         1.2181965884        31.7336438862         1.5714255513 
        1.1150000000         2.5000000000         1.2130986854        31.6008450925         1.5650202001 
        1.1200020000         2.5000000000         1.2080007824        31.4680462987         1.5554121732 
        1.1250000000         2.5000000000         1.2130986854        31.6008450925         1.5650202001 
        1.1300000000         2.5000000000         1.2130986854        31.6008450925         1.5682228757 
        1.1350000000         2.5000000000         1.2105497339        31.5344456956         1.5618175245 
        1.1400000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        1.1450000000         2.5000000000         1.2130986854        31.6008450925         1.5586148488 
        1.1500000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        1.1550000000         2.5000000000         1.2105497339        31.5344456956         1.5618175245 
        1.1600000000         2.5000000000         1.2054518309        31.4016469019         1.5554121732 
        1.1650000000         2.5000000000         1.2054518309        31.4016469019         1.5586148488 
        1.1700000000         2.5000000000         1.2181965884        31.7336438862         1.5714255513 
        1.1750000000         2.5000000000         1.2181965884        31.7336438862         1.5618175245 
        1.1800000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        1.1850000000         2.5000000000         1.2105497339        31.5344456956         1.5650202001 
        1.1900000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        1.1950000000         2.5000000000         1.2054518309        31.4016469019         1.5586148488 
        1.2000000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        1.2050000000         2.5000000000         1.2207455399        31.8000432831         1.5714255513 
        1.2100000000         2.5000000000         1.2130986854        31.6008450925         1.5650202001 
        1.2150000000         2.5000000000         1.2156476369        31.6672444893         1.5746282269 
        1.2200000000         2.5000000000         1.2207455399        31.8000432831         1.5746282269 
        1.2250000000         2.5000000000         1.2054518309        31.4016469019         1.5554121732 
        1.2300000000         2.5000000000         1.2181965884        31.7336438862         1.5714255513 
        1.2350000000         2.5000000000         1.2080007824        31.4680462987         1.5618175245 
        1.2400000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        1.2450000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        1.2500000000         2.5000000000         1.2130986854        31.6008450925         1.5650202001 
        1.2550000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        1.2600000000         2.5000000000         1.2105497339        31.5344456956         1.5618175245 
        1.2650000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        1.2700000000         2.5000000000         1.2130986854        31.6008450925         1.5650202001 
        1.2750000000         2.5000000000         1.2054518309        31.4016469019         1.5586148488 
        1.2800000000         2.5000000000         1.2080007824        31.4680462987         1.5586148488 
        1.2850000000         2.5000000000         1.2130986854        31.6008450925         1.5650202001 
        1.2900000000         2.5000000000         1.2181965884        31.7336438862         1.5746282269 
        1.2950000000         2.5000000000         1.2054518309        31.4016469019         1.5554121732 
        1.3000000000         2.5000000000         1.2156476369        31.6672444893         1.5714255513 
        1.3050000000         2.5000000000         1.2207455399        31.8000432831         1.5746282269 
        1.3100000000         2.5000000000         1.2080007824        31.4680462987         1.5554121732 
        1.3150006000         2.5000000000         1.2207455399        31.8000432831         1.5714255513 
        1.3200000000         2.5000000000         1.2130986854        31.6008450925         1.5682228757 
        1.3250000000         2.5000000000         1.2054518309        31.4016469019         1.5554121732 
        1.3300000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        1.3350000000         2.5000000000         1.2181965884        31.7336438862         1.5714255513 
        1.3400000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        1.3450000000         2.5000000000         1.2080007824        31.4680462987         1.5586148488 
        1.3500000000         2.5000000000         1.2080007824        31.4680462987         1.5554121732 
        1.3550000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        1.3600000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        1.3650000000         2.5000000000         1.2130986854        31.6008450925         1.5554121732 
        1.3700000000         2.5000000000         1.2080007824        31.4680462987         1.5618175245 
        1.3750000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        1.3800000000         2.5000000000         1.2130986854        31.6008450925         1.5714255513 
        1.3850000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        1.3900000000         2.5000000000         1.2080007824        31.4680462987         1.5618175245 
