           Time[sec]  \omega_{cmd}[rad/s]          V_{gyro}[V] \omega_{gyro}[rad/s]          \theta[rad] 
        0.7450000000         2.0624591057         1.3252525508         2.9280806031         1.5874389293 
        0.7500000000         1.2514757203         1.3227035993         2.8616812063         1.5938442805 
        0.7550000000         0.4270535181         1.3023119874         2.3304860313         1.6002496317 
        0.7600000000        -0.4019545454         1.3023119874         2.3304860313         1.6162630097 
        0.7650000000        -1.2266462699         1.2921161815         2.0648884438         1.6354790633 
        0.7700000000        -2.0381658055         1.2283923943         0.4049035221         1.6354790633 
        0.7750000000        -2.8277987502         1.2232944913         0.2721047284         1.6354790633 
        0.7847194000        -4.2685202022         1.2105497339        -0.0598922560         1.6258710365 
        0.7863585000        -4.4959623253         1.2130986854         0.0065071409         1.6354790633 
        0.7900000000        -4.9823022439         1.2105497339        -0.0598922560         1.6354790633 
        0.7950000000        -5.6032892063         1.2207455399         0.2057053315         1.6354790633 
        0.8000000000        -6.1641059422         1.2105497339        -0.0598922560         1.6354790633 
        0.8050000000        -6.6587301907         1.1009448200        -2.9150663214         1.6322763877 
        0.8100000000        -7.0818504907         1.1570217527        -1.4542795902         1.6130603341 
        0.8150622000        -7.4327452784         1.1264343349        -2.2510723527         1.5938442805 
        0.8200026000        -7.6963390796         1.1085916745        -2.7158681308         1.5938442805 
        0.8250001000        -7.8808774612         1.1213364319        -2.3838711464         1.5938442805 
        0.8300001000        -7.9809011964         1.0907490141        -3.1806639088         1.5554121732 
        0.8359599000        -7.9881391144         1.0780042567        -3.5126608932         1.5426014708 
        0.8400000000        -7.9236914056         1.0958469171        -3.0478651151         1.5458041464 
        0.8450000000        -7.7670716465         1.1009448200        -2.9150663214         1.5329934440 
        0.8500000000        -7.5270461516         1.0703574022        -3.7118590838         1.4977640124 
        0.8550000000        -7.2061924048         1.0932979656        -3.1142645120         1.4913586612 
        0.8600000000        -6.8079558544         1.0729063537        -3.6454596869         1.4753452831 
        0.8650000000        -6.3366129140         1.1009448200        -2.9150663214         1.4561292295 
        0.8700000000        -5.7972250415         1.0525147418        -4.1766548619         1.4337105003 
        0.8750000000        -5.1955843866         1.1034937715        -2.8486669245         1.4273051491 
        0.8800000000        -4.5381515930         1.0703574022        -3.7118590838         1.4016837443 
        0.8850045000        -3.8313311653         1.1060427230        -2.7822675276         1.3952783931 
        0.8900000000        -3.0846719382         1.0703574022        -3.7118590838         1.3728596638 
        0.8950000000        -2.3042330881         1.1034937715        -2.8486669245         1.3696569882 
        0.9000000000        -1.4990505167         1.0754553052        -3.5790602901         1.3440355834 
        0.9050000000        -0.6777705771         1.1060427230        -2.7822675276         1.3216168542 
        0.9100000000         0.1507875177         1.0882000626        -3.2470633057         1.3120088274 
        0.9150000000         0.9777263995         1.1187874804        -2.4502705433         1.2959954493 
        0.9200000000         1.7941660876         1.1264343349        -2.2510723527         1.2895900981 
        0.9250000000         2.5913393456         1.1927070735        -0.5246880341         1.2863874225 
        0.9300000000         3.3606858273         1.2105497339        -0.0598922560         1.2831847469 
        0.9350000000         4.0939440009         1.2207455399         0.2057053315         1.2735767201 
        0.9400000000         4.7832398645         1.2156476369         0.0729065378         1.2927927737 
        0.9450001000         5.4211836965         1.2105497339        -0.0598922560         1.2863874225 
        0.9500163000         6.0026762571         1.2156476369         0.0729065378         1.2863874225 
        0.9550001000         6.5161754398         1.2054518309        -0.1926910497         1.2767793957 
        0.9600001000         6.9614782094         1.3303504538         3.0608793969         1.2927927737 
        0.9650000000         7.3320193753         1.2895672300         1.9984890470         1.3056034761 
        0.9700002000         7.6238447855         1.2997630359         2.2640866345         1.3152115030 
        0.9750000000         7.8337824850         1.3048609389         2.3968854282         1.3280222054 
        0.9800000000         7.9596081359         1.3456441627         3.4592757781         1.3440355834 
        0.9850000000         7.9999605216         1.3227035993         2.8616812063         1.3568462858 
        0.9900002000         7.9544027865         1.3507420656         3.5920745718         1.3664543126 
        0.9950000000         7.8234347186         1.3227035993         2.8616812063         1.3952783931 
        1.0000000000         7.6084521304         1.3609378716         3.8576721593         1.4112917711 
        1.0050003000         7.3117469300         1.3252525508         2.9280806031         1.4241024735 
        1.0100001000         6.9365573455         1.3507420656         3.5920745718         1.4465212027 
        1.0150000000         6.4868766467         1.3201546478         2.7952818094         1.4529265539 
        1.0200002000         5.9675070679         1.3507420656         3.5920745718         1.4689399319 
        1.0250000000         5.3841001081         1.3278015023         2.9944800000         1.4913586612 
        1.0300000000         4.7428545613         1.3354483567         3.1936781906         1.5105747148 
        1.0350000000         4.0506784588         1.3227035993         2.8616812063         1.5169800660 
        1.0400000000         3.3150046479         1.3201546478         2.7952818094         1.5393987952 
        1.0450000000         2.5437330707         1.3176056963         2.7288824125         1.5586148488 
        1.0500000000         1.7451459312         1.2972140844         2.1976872376         1.5618175245 
        1.0550000000         0.9278187585         1.2997630359         2.2640866345         1.5746282269 
        1.0600000000         0.1005283191         1.3048609389         2.3968854282         1.5938442805 
        1.0650000000        -0.7278416312         1.2921161815         2.0648884438         1.6034523073 
        1.0700000000        -1.5483957444         1.2232944913         0.2721047284         1.6066549829 
        1.0774712000        -2.7408558930         1.2130986854         0.0065071409         1.6066549829 
        1.0800009000        -3.1311267142         1.1927070735        -0.5246880341         1.6002496317 
        1.0850000000        -3.8760343268         1.2156476369         0.0729065378         1.6066549829 
        1.0900000000        -4.5794570048         1.2156476369         0.0729065378         1.6066549829 
        1.0950000000        -5.2337037515         1.2080007824        -0.1262916528         1.6066549829 
        1.1000000000        -5.8317490194         1.2130986854         0.0065071409         1.6034523073 
        1.1050000000        -6.3671707734         1.1952560250        -0.4582886372         1.6066549829 
        1.1100000000        -6.8342194536         1.0678084507        -3.7782584807         1.5842362537 
        1.1150000000        -7.2278797155         1.1595707042        -1.3878801934         1.5778309025 
        1.1200000000        -7.5439242871         1.1136895775        -2.5830693370         1.5714255513 
        1.1250000000        -7.7789593632         1.1289832864        -2.1846729558         1.5586148488 
        1.1300000000        -7.9304610486         1.1111406260        -2.6494687339         1.5586148488 
        1.1350001000        -7.9968029301         1.0932979656        -3.1142645120         1.5297907684 
        1.1400013000        -7.9772549559         1.1136895775        -2.5830693370         1.5329934440 
        1.1450001000        -7.8720740506         1.1187874804        -2.4502705433         1.5073720392 
        1.1500000000        -7.6823494854         1.1009448200        -2.9150663214         1.5041693636 
        1.1550001000        -7.4101197566         1.0932979656        -3.1142645120         1.4785479588 
        1.1600000000        -7.0583298115         1.1136895775        -2.5830693370         1.4753452831 
        1.1650000000        -6.6307386152         1.0780042567        -3.5126608932         1.4593319051 
        1.1700000000        -6.1319440545         1.0932979656        -3.1142645120         1.4337105003 
        1.1750000000        -5.5673023727         1.0907490141        -3.1806639088         1.4176971223 
        1.1800000000        -4.9428769047         1.0932979656        -3.1142645120         1.3984810687 
        1.1850000000        -4.2653729659         1.0983958685        -2.9814657182         1.3920757174 
        1.1900000000        -3.5420658483         1.0932979656        -3.1142645120         1.3728596638 
        1.1950000000        -2.7807226958         1.0882000626        -3.2470633057         1.3536436102 
        1.2000000000        -1.9895190973         1.1034937715        -2.8486669245         1.3536436102 
        1.2050000000        -1.1769512947         1.1009448200        -2.9150663214         1.3280222054 
        1.2100000000        -0.3517449465         1.0932979656        -3.1142645120         1.3088061517 
        1.2150000000         0.4772385711         1.1136895775        -2.5830693370         1.2927927737 
        1.2200000000         1.3010973216         1.1315322379        -2.1182735589         1.2991981249 
        1.2250000000         2.1109843997         1.1825112676        -0.7902856215         1.2767793957 
        1.2300000000         2.8982029336         1.2105497339        -0.0598922560         1.2895900981 
        1.2350000000         3.6542994747         1.2334902973         0.5377023158         1.2831847469 
        1.2400000000         4.3711547739         1.2105497339        -0.0598922560         1.2863874225 
        1.2450000000         5.0410709695         1.2156476369         0.0729065378         1.2799820713 
        1.2500000000         5.6568542495         1.2283923943         0.4049035221         1.2895900981 
        1.2550000000         6.2118921015         1.2181965884         0.1393059346         1.2927927737 
        1.2600001000         6.7002333839         1.2946651330         2.1312878407         1.2959954493 
        1.2650000000         7.1166070110         1.3150567448         2.6624830157         1.2991981249 
        1.2700001000         7.4565749090         1.2997630359         2.2640866345         1.3216168542 
        1.2750000000         7.7164593477         1.2972140844         2.1976872376         1.3152115030 
