           Time[sec]  \omega_{cmd}[rad/s]          V_{gyro}[V] \omega_{gyro}[rad/s]          \theta[rad] 
        1.4350000000         0.6777705771         1.0907490141        -3.1806639088         0.8828502964 
        1.4400001000         1.2018151475         1.1238853834        -2.3174717495         0.8860529720 
        1.4450001000         1.7206202035         1.1672175587        -1.1886820028         0.8764449452 
        1.4500001000         2.2319389836         1.1927070735        -0.5246880341         0.8604315672 
        1.4550001000         2.7335467822         1.2232944913         0.2721047284         0.8732422696 
        1.4600001000         3.2232611455         1.2105497339        -0.0598922560         0.8572288916 
        1.4650001000         3.6989513667         1.2181965884         0.1393059346         0.8764449452 
        1.4700001000         4.1585477573         1.2232944913         0.2721047284         0.8732422696 
        1.4750001000         4.6000506514         1.2105497339        -0.0598922560         0.8668369184 
        1.4800001000         5.0215391065         1.2156476369         0.0729065378         0.8668369184 
        1.4850001000         5.4211792613         1.3354483567         3.1936781906         0.8860529720 
        1.4900001000         5.7972323146         1.2819203755         1.7992908564         0.8860529720 
        1.4950013000         6.1481431384         1.2717245696         1.5336932689         0.8892556476 
        1.5000000000         6.4721359550         1.3150567448         2.6624830157         0.9116743769 
        1.5050001000         6.7680624726         1.3176056963         2.7288824125         0.9148770525 
        1.5100001000         7.0345355079         1.3252525508         2.9280806031         0.9340931061 
        1.5150000000         7.2703974588         1.3176056963         2.7288824125         0.9308904305 
        1.5200001000         7.4746353013         1.3176056963         2.7288824125         0.9565118353 
        1.5250001000         7.6463472218         1.3303504538         3.0608793969         0.9725252133 
        1.5300001000         7.7847905198         1.3328994052         3.1272787938         0.9757278890 
        1.5350001000         7.8893628391         1.3405462597         3.3264769844         1.0013492938 
        1.5400001000         7.9596091951         1.3456441627         3.4592757781         1.0173626718 
        1.5450000000         7.9952235868         1.3583889201         3.7912727624         1.0333760498 
        1.5500001000         7.9960521514         1.3405462597         3.3264769844         1.0461867522 
        1.5550001000         7.9620901914         1.3660357746         3.9904709531         1.0654028059 
        1.5600000000         7.8934875537         1.3558399686         3.7248733656         1.0942268863 
        1.5650001000         7.7905375805         1.3660357746         3.9904709531         1.1134429399 
        1.5700001000         7.6536933408         1.3762315805         4.2560685405         1.1422670204 
        1.5750001000         7.4835485159         1.3838784350         4.4552667311         1.1614830740 
        1.5800001000         7.2808433920         1.3583889201         3.7912727624         1.1646857496 
        1.5850001000         7.0464599222         1.3762315805         4.2560685405         1.1967125056 
        1.5900001000         6.7814178895         1.3481931142         3.5256751750         1.2031178568 
        1.5950001000         6.4868704698         1.3762315805         4.2560685405         1.2223339104 
        1.6000001000         6.1640992146         1.3558399686         3.7248733656         1.2511579909 
        1.6050015000         5.8144069724         1.3864273864         4.5216661280         1.2799820713 
        1.6100001000         5.4396192907         1.3634868231         3.9240715562         1.2991981249 
        1.6150001000         5.0410627742         1.3634868231         3.9240715562         1.3024008005 
        1.6200010000         4.6204954573         1.3609378716         3.8576721593         1.3312248810 
        1.6250000000         4.1799885177         1.3762315805         4.2560685405         1.3568462858 
        1.6300001000         3.7211992816         1.3481931142         3.5256751750         1.3632516370 
        1.6350001000         3.2462284150         1.3660357746         3.9904709531         1.3824676906 
        1.6400000000         2.7571433854         1.3456441627         3.4592757781         1.4176971223 
        1.6450001000         2.2560424812         1.3481931142         3.5256751750         1.4273051491 
        1.6500001000         1.7451356310         1.3379973082         3.2600775875         1.4273051491 
        1.6550001000         1.2266358388         1.3278015023         2.9944800000         1.4529265539 
        1.6600001000         0.7027990589         1.3354483567         3.1936781906         1.4817506344 
        1.6650001000         0.1759044569         1.3278015023         2.9944800000         1.4881559856 
        1.6700000000        -0.3517449465         1.3099588419         2.5296842219         1.5041693636 
        1.6750001000        -0.8778849793         1.2921161815         2.0648884438         1.5073720392 
        1.6800001000        -1.4001948632         1.2411371518         0.7369005065         1.5233854172 
        1.6850000000        -1.9164023683         1.2130986854         0.0065071409         1.5105747148 
        1.6900001000        -2.4242922151         1.2130986854         0.0065071409         1.5297907684 
        1.6950001000        -2.9216239205         1.2156476369         0.0729065378         1.5201827416 
        1.7000001000        -3.4062438824         1.2207455399         0.2057053315         1.5361961196 
        1.7050001000        -3.8760435596         1.2130986854         0.0065071409         1.5297907684 
        1.7100001000        -4.3289788926         1.2105497339        -0.0598922560         1.5201827416 
        1.7150001000        -4.7630791975         1.1748644131        -0.9894838121         1.5201827416 
        1.7200001000        -5.1764557396         1.1213364319        -2.3838711464         1.5041693636 
        1.7250001000        -5.5673099521         1.1646686072        -1.2550813996         1.5073720392 
        1.7300001000        -5.9339412606         1.1519238497        -1.5870783840         1.4817506344 
        1.7350034000        -6.2749705615         1.1238853834        -2.3174717495         1.4176971223 
        1.7596601000        -7.5319072256         1.1136895775        -2.5830693370         1.4241024735 
        1.7661880000        -7.7359453057         1.1162385289        -2.5166699401         1.3984810687 
        1.7732486000        -7.8920279543         1.0932979656        -3.1142645120         1.3856703662 
        1.7747076000        -7.9157814068         1.0958469171        -3.0478651151         1.3888730418 
        1.7760753000        -7.9353846801         1.1034937715        -2.8486669245         1.3920757174 
        1.7780774000        -7.9594189398         1.1034937715        -2.8486669245         1.3888730418 
        1.7793598000        -7.9718962229         1.1060427230        -2.7822675276         1.3888730418 
        1.7806840000        -7.9823849378         1.0882000626        -3.2470633057         1.3696569882 
        1.7830520000        -7.9950645929         1.0882000626        -3.2470633057         1.3696569882 
        1.7851345000        -7.9997659055         1.0856511111        -3.3134627026         1.3600489614 
        1.7900001000        -7.9872118043         1.0703574022        -3.7118590838         1.3312248810 
        1.7950000000        -7.9400284060         1.0576126448        -4.0438560681         1.3120088274 
        1.8001674000        -7.8549677502         1.0780042567        -3.5126608932         1.2991981249 
        1.8050001000        -7.7423741458         1.0550636933        -4.1102554650         1.2863874225 
